a- alatt
ballpark futballpalya
ball-pen golyostoll
ballroom balterem
ballsy bator
bally atkozott
ballyho csinnadratta
balm balzsam
balmy balzsamos
balneology gyogyfurdotan
baloney halandzsa
balsa balsafa
balsam hajbalzsam
balustrade karfa
bamboo bambusz
ban atok
banal banalis
banality banalitas
banana banan
band abroncs
bandage kotes
bandit bandita
banditry banditasag
bandmaster karmester
bands beklyo
bandsaw szalagfuresz
bandstand kioszk
bandy hokiuto
bandy-legged karikalabu
bane baj
bang csattanas
bangle bokaperec
bangs frufru
bang-up klassz
banian halokontos
banian-hospital allatkorhaz
banishment szamkivetes
banister korlat
banister-brush butorkefe
banisters lepcsokorlat
banjo bendzso
bank arokpart
bank-clerk banktisztviselo
banker bankar
banking duzzasztas
banking-up duzzasztas
bank-roll bankjegykoteg
bankroller penzeszsak
bankrupt vagyonbukott
bankruptcy bukas
banks partvidek
banned tiltott
banner lobogo
banquet bankett
banqueting-hall kulonterem
bantamweight bantamsuly
banter evodes
baobab majomkenyerfa
baptism keresztseg
baptismal keresztelesi
Baptist baptista
baptist baptista
baptistery keresztelokapolna
baptistry keresztelokapolna
bar akadaly
barb apacafatyol
barbarian barbar
barbaric barbar
barbarism barbarizmus
barbarity barbarsag
barbarous barbar
barbarously kegyetlenul
barbecue grillsuto
barbed bajuszos
barber borbely
bard bard
bardic bard-
bare csupasz
bare-boned sovany
barebones csontkollekcio
barefaced orcatlan
barefoot mezitlab
barely alig
barfly bar-torzsvendeg
barf-out hanyadek
bargain alku
barge barka
bargee dereglyes
baritone bariton
barium barium
bark barka
barley arpa
barleycorn arpaszem
barley-meal arpaliszt
barley-sugar arpacukor
barley-water arpanyak
bar-line utemvonal
barm eleszto
barmaid italoslany
barman csapos
barmy dilis
barn szenapajta
barnacle csipovas
barn-stormer ripacs
barnstorming csepuragas
baron baro
baroque barokk
barrage aknazar
barrel cso
barrelful hordonyi
barren erdektelen
barrenness koparsag
barrett diszcsat
barricade barikad
barrier akadaly
barrister ugyved
barrow artany
barrowful taliganyi
bars racs
barstool barszek
bartender csapos
barter arucsere
barytone bariton
basalt bazalt
basaltic bazaltos
basaltiform bazaltszeru
base alap
baseball baseball
baseboard alapdeszka
basement alagsor
bash arculutes
bashful felenk
basic alap
basically alapvetoen
basin medence
basis alap
basket kosar
basketball kosarlabda
basketwork kosarfonas
bass basszus
bassinet mozeskosar
bass-mat hancsfonat
bassoon fagott
bastard elfajzott
basting ferceles
bastion bastya
bat csicskas
batboy csicskas
batch csomo
batchwise adagonkent
bate duh
bated kiveve
bath furdo
bathe furdes
bather furdozo
bathing furdes
bath-mat furdoszobaszonyeg
bathos alpatosz
bathrobe furdokopeny
bathroom furdoszoba
bath-tub furdokad
bathtub furdokad
baton gumibot
batsman utojatekos
battalion zaszloalj
batten bordalada
battening deszkavalaszfal
battens vilagitotabla
batter darido
battered utott-kopott
batteries ketrecek
battering-train ostromtuzerseg
battery akku
battle csata
battlefield csatater
battleground csatater
battlements partazat
battleship csatahajo
batty bolond
bauble csecsebecse
baulk mestergerenda
bauxite bauxit
bawd keritono
bawdy erkolcstelen
bawdy-house kupi
bay ablakfulke
bayerite bayerit
bayonet bajonett
bays baberkoszoru
bazooka pancelokol
bbq grillsuto
be- el-
beach part
beach-comber gyongyhalasz
beacon fenyjel
beacon-buoy vilagitoboja
beacon-light iranyfeny
bead celgomb
beading gyongydiszites
beadle altiszt
beads olvaso
beady gombszemu
beagle rendorkopo
beak csor
beaker csorospohar
beam allopofa
beaming boldog
beams keresztrud
beamy ragyogo
bean bab
bean-feast darido
beano darido
beans bab
beanstalk babszar
beany eleteros
bear medve
bearable elviselheto
beard szakall
bearer allvany
bearers halottvivok
bearing csapagy
bearings cimer
beast allat
beastie allatka
beastly allati
beat csapas
beaten dongolt
beater habvero
beatific boldog
beatifically udvozulten
beating beveres
beating-machine zuzda
beat-up agyonstrapalt
beauish piperkocos
beaumontage gipszhabarcs
beaupere bajtars
beau-pot viragvaza
beaus gavaller
beaut szepseg
beauteous gyonyoru
beautician kozmetikus
beautiful gyonyoru
beautifully gyonyoruen
beauty szepseg
beauty-spot szepsegtapasz
beaver hod
bebop dzsesszfajta
beckoning hivogato
becoming elonyos
bed agy
bedbug poloska
bedchamber ejjeliedeny
bedclothes agynemu
bedding agyazas
bedfellow agytars
bedhead agyfej
bedlam tebolyda
bedlamite bolond
bedraggled bepiszkitott
bedrock alap
bedroom haloszoba
bedspread agytakaro
bed-spring agyrugo
bedstead agyallvany
bee meh
beech bukk
beef izomero
beefy eroteljes
beehive kaptar
beer sor
beermat soralatet
beery becsipett
beeswax mehviasz
beet cekla
beetle bogar
beetroot cekla
before azelott
beforehand elore
befuddled megzavarodott
beggar alak
beggarly szegenyes
beginner kezdo
beginning kezdet
begloved kesztyus
begonia begonia
begrimed koszos
begrudgingly huzodozva
behavior magatartas
behaviorism behaviorizmus
behaviour magatartas
behavioural viselkedesi
behaviourism behaviorizmus
behest parancs
behind hatsoresz
beholder nezo
beige bezs
bejeweled ekszerezett
belated elkesett
belatedly keson
belay! allj!
belch boffenes
beleaguerer ostromlo
belfry haranglab
Belgian belga
Belgic nemetalfoldi
Belgium Belgium
belief hit
believable hiheto
believer hivo
bell csengo
bellboy liftesfiu
bellhop liftesfiu
bellicose harcias
belligerency ellensegesseg
belligerent ellenseges
belligerently ellensegesen
bellow boges
bellows fujtato
bell-pull csengohuzo
bell-rope csengozsinor
belly has
belly-band haslo
bellyflop hasas
belonging tartozo
beloved kedvelt
below alant
belt derekszij
beltbuckle ovcsat
beltway autopalyagyuru
bemusement bodulat
bench alagutszelveny
benchmark szintjel
bench-scale labormeretu
bend csomo
bender dozsoles
benders labak
bends habveto
beneath ala
benedictine bences
benefaction adomany
benefactor jotevo
benefication dusitas
beneficence jotekonysag
beneficent jotekony
beneficial elonyos
beneficiary haszonelvezo
benefit elony
benevolence joakarat
benevolent joakaratu
Bengal Bengalia
Bengalee bengali
Bengali bengali
benign joindulatu
benignant joindulatu
benignity joakarat
benignly joindulatuan
bent hajlam
benthic feneki
benthos bentosz
bentonite bentonit
bentwood hajlitottfa-
benzene benzol
benzine benzin
bequest hagyatek
bereaved hatramaradottak
bereavement gyasz
beret svajcisapka
berm padka
berserk duhongo
berth agy
beryllium berillium
beset bekeritett
beside mellett
besides amellett
besotted eltompult
bespectacled szemuveges
best legjobb
bestial allatias
bestiality allatiassag
bet fogadas
betel betelborsfa
betel-nut beteldio
betrayal elarulas
betrothal eljegyzes
betrothed eljegyzett
betterment erteknovekedes
betty alkulcs
between kozott
betwixt kozben
bevel rezsu
beveled ferde
bevelled ferde
bevel-wheel kupfogaskerek
beverage ital
beverages italok
bevy csapat
beweaponed felfegyverzett
bewigged parokas
bewildering megteveszto
bewilderingly megtevesztoen
bewilderment elkepedes
bewitching elbajolo
beyond felett
bias egyoldalusag
bib eloke
bible biblia
biblical bibliai
bibliophile bibliofil
bibliophilism bibliofilia
bibliophilist bibliofil
biceps bicepsz
bichromate dikromat
bickering civakodas
bicuspid elozapfog
bicycle bicikli
bicyclist biciklista
bid ajanlat
bidder ajanlattevo
bidding ajanlat
bidet bide
bifocal bifokalis
big nagy
bigamist bigamista
bigamous bigamias
bigamy bigamia
bigness nagysag
bigoted bigott
bigotry vakbuzgosag
big-time nagyszabasu
big-timer nagyfeju
bike bicaj
biker bicajos
bikini bikini
bilateral ketoldali
bile epe
bilge aljviz
bilingual ketnyelvu
bilious epes
bill alabard
billable felszamithato
billabong holtag
billboard hirdetotabla
billet alkalmaztatas
billeting beszallasolas
billets kvartely
billing falragasztas
billing-machine szamlazogep
bimbo candra
bin dezsa
binder iratgyujto
bindery konyvkoteszet
binding kotelezo
bingo bingo
bingo! megvan!
binnacle iranytutarto
binomial binom
bint bige
biochemic biokemiai
biochemical biokemiai
biochemist biokemikus
biochemistry biokemia
biocide csiraolo
biographer eletrajziro
biographical eletrajzi
biography eletrajz
biology biologia
biomass biomassza
biome eletkozosseg
biosphere bioszfera
biota biota
biped ketlabu
bipedal ketlabu
bipolar bipolaris
birch nyir
birchbark nyirfakereg
bird madar
birdbath madarfurdo
bird-cage madarkalitka
bird-like madarszeru
birth szarmazas
birthday szuletesnap
birthright elsoszulottseg
biscuit keksz
biscuits ragnivalo
bisector felezo
bishop puspok
bishopric egyhazmegye
bistro bar
bisulfate hidrogenszulfat
bit darab
bitch elegedetlenkedes
bitchiness rosszindulat
bitching elegedetlenkedes
bitchy rosszindulatu
bite csipes
biter harapos
biting csipos
bitter elkeseredett
bitterly elkeseredetten
bitterness keseruseg
bitternessly latszolag
bitters gyomorkeseru
bittersweet ebszolo
bitumen aszfalt
bituminous aszfaltos
bivalve ketcsoves
bivalved ketcsoves
bivvy hajlek
bizarre bizarr
bizarrerie bizarrsag
blab fecseges
black csunya
blackball ellenszavazat
black-beetle svabbogar
blackberry szeder
blackbird feketerigo
blackboard tabla
blackguard gazember
blackhead mitesszer
blacklist feketelista
blackmail zsarolas
blackness feketeseg
black-out elsotetites
blackout elsotetites
blacksmith patkolokovacs
blacktop aszfalt
blacky neger
bladder futballbelso
blade fureszlap
blame felelosseg
blameless artatlan
bland csillapito
blandishment hizelges
blandishments baj
blandly szeliden
blandness lagysag
blank blanketta
blanket altalanos
blanketing pokrocozas
blankety-blank atkozott
blankly kifejezestelenul
blankness uresseg
blare harsogas
blarney hizelkedes
blase blazirt
blasphemous istenkaromlo
blasphemy istenkaromlas
blast banzaj
blasted atkozott
blast-furnace nagyolvaszto
blasting pusztitas
blastoff kiloves
blat begetes
blatant egbekialto
blatantly nagyhanguan
blatter fecseges
blaze bemetszes
blazer blezer
blazing langolo
blazon cimer
bleach feherito
bleacher deritokad
bleachery feheritouzem
bleaching-clay feheritofold
bleaching-earth feheritofold
bleak baratsagtalan
bleakly zordul
bleared csipas
blear-eyed rovidlato
blearily csipasan
bleary csipas
bleat begetes
bleed megcsapolas
bleeder ember
bleeders sarkantyu
bleeding verzes
blemish folt
blend keverek
blender turmixgep
blending keveredes
blessed aldott
blessing aldas
blight metely
blighted hervadt
blighter csoro
blimp leghajo
blind ablakredony
blindfold elvakultan
blinding aladucolas
blindly vakon
blindness vaksag
blinds ablakredony
blink csillanas
blinkered szemellenzos
blinkers szemellenzo
blip radarjel
bliss boldogsag
blissful aldott
blissfully szerencsere
blister holyag
blithe devaj
blithely elenken
blithering hulye
blitz lerohanas
blitzkrieg villamhaborus
blizzard hovihar
bloated dagadt
blob csopp
blobby foltos
block akadaly
blockade blokad
blockage eltorlaszolas
blockhead tokfej
blockhouse blokkhaz
blockish ostoba
blockishly butan
bloke alak
blond szoke
blonde szoke
blood piperkoc
blood-curdling verfagyaszto
bloodhound vereb
bloodless kedelytelen
blood-money verdij
bloodshed verontas
bloodshot veralafutasos
blood-sucker pioca
bloodsucker verszivo
blood-sugar vercukor
bloodthirst verszomj
bloodthirstiness verszomj
bloodthirsty verengzo
bloody atkozott
bloodyminded fafeju
bloodymindedness fafejuseg
bloom hamvassag
bloomer baki
blooming viragzo
blooper baki
blossom virag
blossoming viragzas
blot folt
blotch folt
blotchy foltos
blotter elojegyzek
blow csapas
blow-ball pitypang
blow-by-blow minuciozus
blowdown kifuvatas
blower fujo
blow-fly dongo
blowgun fuvocso
blow-hole szelelolyuk
blow-lamp forrasztolampa
blown fuvott
blow-out dozsoles
blow-pipe forrasztocso
blow-torch forrasztolampa
blowtorch forrasztolampa
blow-up duhroham
blowup duhroham
blowy huzatos
blowziness kocossag
blowzy kocos
blub sirogorcs
blubber balnazsir
blubbery zsiros
bludgeon bunkosbot
blue allhatatos
blue-bell harangvirag
bluebell harangvirag
blue-chip ertekes
blueprint tervrajz
blues blues
bluff amitas
bluish kekes
blunder bakloves
blunderbuss mordaly
blunderer ketbalkezes
blundering bakloves
blunt buta
blunted eltompult
blunting eltompitas
bluntly kereken
bluntness butasag
blunt-pointed hegyetlen
blunt-witted egyugyu
blur elmosodottsag
blurb beszed
blurred eletlen
blurrily elmosodottan
blurry elmosodott
blush arcpirosito
blusher arcpirosito
bluster duhonges
blusterer hetvenkedo
blustering handabandazas
boar kan
board asztal
boarder bennlako
boarding atvizsgalas
boarding-school internatus
boardroom tanacsterem
boards boritolap
boardwalk setany
boast buszkeseg
boastful dicsekvo
boat csesze
boater zsirardi
boat-hook csonakcsaklya
boating csonakazas
boatswain fedelzetmester
boatyard solya
bob bubifrizura
bobbin orso
bobble hiba
bodeful baljos
bodega bodega
bodiless testetlen
bodily szemelyesen
body alapanyag
bodyguard testor
bodyweight testsuly
boehmite boehmit
Boer bur
bog lap
bogey kisertet
boggle elrontas
boggy mocsaras
bogie csille
bogle kisertet
bogus al-
bogy kisertet
bohemia bohemvilag
bohemian bohem
bohemianism bohemseg
boil forras
boiled fott
boiled-off fozott
boiler kazan
boisterous fektelen
bold arcatlan
boldfaced arcatlan
boldly arcatlanul
boldness arcatlansag
bole fatorzs
bollard colop
boloney halandzsa
Bolshevik bolsevik
Bolshevism bolsevizmus
Bolshevist bolsevik
bolshevization bolsevizalas
bolshie bolsevik
bolster aljzat
bolt csapszeg
bolting elreteszeles
bolting-bag liszteszsak
bolting-cloth szitaszovet
bolting-machine malomszita
bolting-mill malomszita
bolting-reel razoszita
bomb bomba
bombardier bombakioldo
bombardment bombazas
bombax bolyfa
bombed-out kibombazott
bomber bombazo
bomb-proof bombabiztos
bomb-shell granat
bonanza bombauzlet
bond adoslevel
bondage fogsag
bonded elzalogositott
bondholder kotvenytulajdonos
bonding kotes
bone csont
boned csontos
boneless erelytelen
bonelessly erelytelenul
boner baki
bones dominokockak
bonfire maglya
bonhomie kedelyesseg
bonily csontosan
bonkers becsavarodott
bonnet fokoto
bonus nyeresegreszesedes
bony csontos
bonze bonc
boob bamba
boobs cici
booby bamba
booby-hatch bolondokhaza
booby-hutch fedezek
boodle penz
boogey mumus
book jegyzetfuzet
bookcase konyvszekreny
booking bejegyzes
bookjacket konyvborito
bookkeeper konyvelo
bookkeeping konyveles
booklet konyvecske
book-mark konyvjelzo
bookmark konyvjelzo
bookseller konyvkereskedo
bookselling konyvkereskedelem
bookshelf konyvespolc
bookstore konyvesbolt
boom dorges
boomerang bumerang
boon adomany
boondocks tanyavilag
boonies falu
boor bugris
boorish durva
boorishly durvan
boorishness durvasag
boost erosites
booster felhajto
boosterism fellendites
boosting feltoltes
boot bakancs
booth bode
boot-licker talpnyalo
boots cipotisztito
booty martalek
booze ital
boozer kocsma
boozily bepialva
boozy pias
bop csorges
border hatar
bordering hataros
border-land atmenet
border-line hatar
borderline hatarvonal
bore furat
boreal borealis
borealis eszaki
boredom unalom
borehole furat
boring furas
boringly unalmasan
born szuletett
Borneo Borneo
boron bor
borough valasztokerulet
borrowing atvetel
bosh szamarsag
bosom kebel
boss aknasz
boss-eyed kancsal
bossy hatalmaskodo
bosun fedelzetmester
botanic botanikus
botanical botanikus
botanist botanikus
botany botanika
botch fusermunka
both egyarant
bother alkalmatlansag
botheration alkalmatlansag
bothersome bosszanto
bottle palack
bottle-green palackzold
bottleneck palacknyak
bottle-opener sornyito
bottle-party batyusbal
bottler palackozo
bottom alap
bottomless feneketlen
bottommost legalso
botty fenek
boudoir budoar
bough faag
bouillon eroleves
boulder vandorko
boulevard korut
bounce csalas
bouncer kidobolegeny
bouncy goromba
bound bekotott
boundary hatar-
bounden szent
bounder bunko
boundless hatartalan
bounteous bo
bountiful bo
bounty adomany
bouquet buke
bourdon bordo
bourgeois burzsoa
bourgeoisie burzsoazia
bout csorte
boutique butik
bouzouki buzuki
bovine buta
bow bocsanatkeres
bowel bel
bowels belek
bower budoar
bowing koszones
bowl fagolyo
bow-legged karikalabu
bowler kuglizo
bowler-hat kemenykalap
bowling teke
bows hajoorr
bow-wow kutyus
box boksz
boxer bokszolo
boxing boksz
box-wood bukszus
boxwood bukszus
boxy szogletes
boy fiu
boyhood fiukor
boyish fius
bozo ficko
bra melltarto
brace derekszalag
bracelet karkoto
braces fogszabalyzo
bracing feludito
bracken saspafrany
bracket konzol
brackets zarojel
brag henceges
braggadocio haryjanoskodas
braggart henceges
bragging kerkedes
braid copf
brain agy
brainchild otlet
brain-drain tudoscsabitas
-brained -eszu
brain-fag idegkimerultseg
brain-fever agyhartyagyulladas
brainless buta
brainpan koponya
brains agyvelo
brainstorm felrebeszeles
brain-storm felrebeszeles
brainstorming otletroham
brain-washing agymosas
brainwashing agymosas
brainy eszes
braised dinsztelt
brake fek
bran darakorpa
branch ag
brand kard
brandish lendites
brand-new vadonatuj
brandy borparlat
brash hetyke
brashly hetyken
brashness hetykeseg
brass agyubronz
brasses aranygallerosok
brassiere melltarto
brass-ware sargarezaru
brassy pimasz
brat kolyok
bratty csibesz
bravado handabandazas
brave bator
bravely batran
bravery batorsag
brawl verekedes
brawn disznosajt
brawny eros
bray szamarorditas
brazen bronz-
brazen-faced pimasz
brazier bronzonto
brazil berzsenyfa
Brazil Brazilia
breach attores
bread kenyer
breadth szelesseg
breadwinner kenyerkereso
break alkalom
breakage tores
break-down csod
breakdown csod
breaker bukohullam
breakfast reggeli
breakthrough attores
break-up felbomlas
breakup felbomlas
breakwater colopgat
bream deverkeszeg
breast csecs
breast-band szugyelo
breastbone szegycsont
breastplate mellvert
breaststroke melluszas
breastwork konyoklo
breath fuvalom
breathable lelegezheto
breathalyser alkoholszonda
breather kifullaszto
breathing lelegzo
breathless elettelen
breath-taking lelegzetelallito
breathy lihego
breech toltenyur
breechclout agyekkoto
breeches bricsesz
breed fajta
breeding nemzes
breeze civakodas
breezily elenken
breezy elenk
brethren felebaratok
brevity rovidseg
brew fozes
brewer sorfozo
brewery sorfozde
briar feherhanga-bokor
briar-rose vadrozsa
bribe megvesztegetes
briber vesztegeto
bribery vesztegetes
bric-a-brac csecsebecse
brick tegla
bricklayer komuves
brickwork teglafal
bridal menyegzoi
bride fiatalasszony
bridegroom volegeny
bridesmaid nyoszolyolany
bridge bridzs
bridging allvany
bridle kantar
brief eligazitas
briefcase aktataska
briefing eligazitas
briefly roviden
briefs sportalso
brier feherhanga-bokor
brig brigg
brigade brigad
brigadier dandartabornok
brigadier-general dandartabornok
bright fenyes
brightly fenyesen
brightness deru
brilliance eleselmejuseg
brilliancy eleselmejuseg
brilliant brillians
brilliantine brillantin
brilliantly pompasan
brim karima
brimstone harpia
brindle tarka
brindled csikos
brine ocean
briny sos
brisk elenk
briskly elenken
briskness elenkseg
bristle sorte
britches bricsesz
British angol
britisher angol
brittle torekeny
broach dorzsar
broad atfogo
broadcaster leado
broadly nagyjabol
broad-minded megerto
broadminded megerto
broadsheets jegyzet
broadside ragalomhadjarat
brocade brokat
broccoli brokkoli
brocoli brokkoli
brogue bakancs
broil porlekedes
broke penztelen
broken megtort
broken-down-looking kivenhedt
brokenly megtorten
broker alkusz
brokerage alkuszsag
broking alkuszsag
bronchia horgok
bronchial horg-
bronchitic horghurutos
bronchitis horghurut
bronco lo
brontosaurus brontosaurus
bronze bronz
bronzed lebarnult
bronzing bronzozas
brooch bross
brood feszekalja
brooder kelteto
brooding tunodo
broodingly tunodve
brood-mare tenyeszkanca
broody elmelazo
brook csermely
brooklet csermely
broom partvis
broomhandle seprunyel
broomstick seprunyel
broomsticks pipaszarlabak
brothel bordelyhaz
brother baty
brotherhood szaktestulet
brother-in-law sogor
brotherlike testveri
brotherliness testveriesseg
brotherly testveri
brow arc
browbeating eroszakos
brown barna
brownie mano
brownshirts barnaingesek
brows homlok
bruise horpadas
bruiser bokszolo
brumal teli
Brummagem Birmingham
brunch villasreggeli
brunette barna
brunt lokes
brush csalit
brushing tisztitas
brusque durva
brusquely goromban
brutal allati
brutality allatiassag
brute allat
brutish allati
brutishness allatiassag
bub fiu
bubble buborek
bubbly pezsego
buccaneer kaloz
buck allvanybak
bucket csobor
bucking bakugras
buckle abroncsozas
bucko barat
buckram bukram
buckshot ozsoret
buckskin szarvasbor
bud bimbo
budding bimbozo
buddy pajtas
buddy! ocskos!
budgerigar torpepapagaj
budget budzse
budget-priced olcso
budgie torpepapagaj
buff bivalybor
buffalo bison
buff-coat borkabat
buffer csiszolo
buffet bufe
buffoon bohoc
buffoonery bohockodas
bug bogar
bugger buzi
bugger! basszameg!
buggered buzi
buggy bogaras
bugle kurt
bugle-call kurtszo
bugler kurtos
build alak
builder alapito
builder-up acsolovajar
building epites
building-trade epitoipar
buildup berezges
build-up epitmeny
built-in beepitett
built-up beepitett
bulb ego
bulbous gumos
bulbul enekes
Bulgaria Bulgaria
Bulgarian bolgar
bulge dudor
bulging domboru
bulk nagysag
bulkhead valasztofal
bulking duzzasztas
bulky alaktalan
bull bika
bull's-eye celfekete
bulldozer bulldozer
bullet golyo
bulletin ertesito
bull-fighting bikaviadal
bullfrog kecskebeka
bullhead bekaporonty
bull-headed bikafeju
bullhorn bikaszarv
bullion aranyrojt
bull-pup bulldogkolyok
bullshit hulyeseg
bullshitting suketeles
bullwhip tereloostor
bully marhahuskonzerv
bullying eroszakos
bum bedoglott
bumbailiff torvenyszolga
bumblebee dongo
bumble-bee poszmeh
bumkin orrfa
bummer dozsoles
bump banyaomlas
bump! bumm!
bumper bunko
bumpkin bardolatlan
bumptious bekepzelt
bumptiousness arcatlansag
bumpy docogos
bun konty
bunch bojt
bund rakpart
bundle batyu
bung akonadugo
bungalow bungalo
bunghole seggluk
bungler kontar
bungling kontarkodo
bunk barakk
bunker betonfedezek
bunkum ostobasag
bunny nyuszi
bunting draperia
buoy boja
buoyancy elevenseg
buoyant elenk
bur bogancs
burble mormolas
burden rakomany
burdensome nehez
bureau komod
bureaucrat burokrata
bureaucratic burokratikus
burgeon bimbo
burgeoning bimbozo
burger hamburger
burgess polgar
burglar betoro
burglary betores
burgle betores
Burgundian burgundi
burgundy Burgundia
burial temetes
burlap csomagolovaszon
burly nagy
Burmese burmai
burn atejtes
burner egeto
burning egetes
burnout kiegetes
burnt egetett
burnt-out kialudt
burr bogancs
burrow lyuk
burst kitores
bursting atszakitas
bus autobusz
bus-boy pincertanulo
busby kucsma
bus-conductor autobuszkalauz
busdriver buszvezeto
bush bokor
bushel veka
bushwa badarsag
bushwhacker favago
bushy bokros
business ceg
business-card cegkartya
businesslike gyakorlatias
busing csapagycsesze
bust csod
bustard tuzok
bust-bodice melltarto
buster fiu
bustle nyuzsges
bustling fontoskodo
busty nagymellu
busy detektiv
but azonban
butch sebesz
butcher gyilkos
butcher's hentesuzlet
butcherknife henteskes
butchery hentes-szakma
butler fokomornyik
butt ajtosarok
butter hizelges
buttercup boglarka
butterfat tejszin
butterfly lepke
butter-scotch tejkaramella
buttery bufe
buttocks far
button gomb
button-down fantaziatlan
buttonhole gomblyuk
buttress duc
buttressing aladucolas
butts celtabla
butyl butil
buxom pirospozsgas
buy uzlet
buyer vevo
buzz berreges
buzzard heja
buzzer aramszaggato
buzzword szlogen
by alapjan
by-and-by idovel
bygone mult
by-pass csepplang
by-passer jarokelo
by-play mellekesemeny
byplay mellekesemeny
byproduct mellektermek
bystander bameszkodo
by-the-way apropo
byway mellekut
byword kozmondas
cab berkocsi
cabaret kabaremusor
cabbage kaposzta
cabbie taxisofor
cabby berkocsis
cabdriver taxisofor
caber hajitorud
cabin fahaz
cabinet konyhaszekreny
cabinetmaker mubutorasztalos
cable kabel
cacao kakaobab
cache rejtekhely
cackle fecseges
cacodaemon liderc
cacodemon liderc
cacophony hangzavar
cactus kaktusz
cad fajanko
cadaver hulla
cadaverous halalsapadt
cadaverously halalsapadtan
caddie kifuto
caddy badogkanna
cadence hanghordozas
cadenced mertekes
cadent ereszkedo
cadet gyakornok
cadmium kadmium
cadre kader
caducity elaggottsag
caducous futo
caesar cezar
caesarean cezari
cafe kavehaz
cafe kavehaz
caffeine koffein
caftan kaftan
cage hadifogolytabor
cagey gyanakvo
caiman kajman
Cain Kain
cain testvergyilkos
cairn kohalom
caisson keszon
cajolery hizelges
cajoling cirogato
cake huspogacsa
cake-walk gyerekjatek
cal kaloria
calamary kalamajo
calamity balsors
calcar egetokemence
calcareous meszes
calcariferous meszes
calcinate pork
calcination egetes
calcine pirit
calcining kalcinalas
calcium kalcium
calculable kiszamithato
calculated kiszamitott
calculating ravasz
calculation kiszamitas
calculator kalkulator
caldron katlan
calendar almanach
calf-love diakszerelem
caliber fontossag
calibration beosztas
calibre fontossag
calisthenics csuklogyakorlat
call bemondas
caller latogato
calling egybehivas
calling-over nevsorolvasas
callisthenics csuklogyakorlat
callous borkemenyedeses
callously erzeketlenul
callousness erzeketlenseg
callow eretlen
callowness eretlenseg
callus borkemenyedes
callused borkemenyedeses
calm csend
calmness nyugalom
calorie kaloria
calorimeter homennyisegmero
calorimetric kalorimetrikus
calorimetry homennyiseg-meres
calorofic ho-
cam butyok
camaraderie bajtarsiassag
camber bogarhat
cambered bogarhatu
Cambodia Kambodzsa
Cambodian kambodzsai
camel teve
camera fenykepezogep
camomile kamilla
camouflage alcazas
camouflaged alcazott
camp abszurd
campaign hadjarat
campaigner kepviselojelolt
camper kempingezo
campfire tabortuz
campground taborhely
camping kempingezes
camply buzisan
campsite taborhely
campus egyetemvaros
campy buzis
can altaj
Canada Kanada
Canadian kanadai
canal csatorna
canape szendvics
canary besugo
canary-bird kanari
canasta kanaszta
cancellation athuzas
cancer rak
cancerous rakos
candelabra gyertyatarto
candid elfogulatlan
candidacy jeloles
candidate jelolt
candidature jeloltseg
candidly nyiltan
candle gyertya
candle-light gyertyafeny
candlelit gyertyafenyes
candlestick gyertyatarto
candor elfogulatlansag
candour elfogulatlansag
candy cukorka
candyass nyul
candyassed beszari
cane setabot
cane-chair nadszek
canecutter nadvago
canine kutya-
canister badogdoboz
cank bazaltkozet
canned eltett
cannery konzervgyar
cannibal emberevo
cannibalism embereves
cannibalistic emberevo
canning befozes
cannon agyu
cannonade agyutuz
cannonball agyugolyo
cannoneer lovegkezelo
cannon-fodder agyutoltelek
canny okos
canoe kenu
canopy agymennyezet
cant billenes
cantaloup sargadinnye
cantaloupe sargadinnye
cantankerous civakodo
canteen bufe
canvas kanavasz
canvass korteskedes
canvasser kortes
canyon kanyon
canyoned szurdokos
cap fedel
capability adottsag
capable alkalmas
capacious tag
capaciousness tagassag
capacitor kapacitas
capacity befogadokepesseg
cape foldfok
caped kopenyes
caper bakugras
capillarity hajszalcsovesseg
capillary hajszalvekony
capital alaptoke
capital! kolosszalis!
capitalization tokesites
capitulation feladas
capon kappan
capper tetopont
capricious onfeju
capriciousness onfejuseg
capstan csorlo
capsule kapszula
captain aknasz
captaincy kapitanysag
caption felirat
captivating elbajolo
captivation elbajolas
captive bebortonzott
captivity fogsag
capture elfogas
car auto
carabin karabely
carabine karabely
carabine-swivel karabiner
carabinieer karabelyos
carabinier karabelyos
caramel karamell
carat karat
carbide karbid
carbine karabiner
carbineer karabelyos
carbolated karbolos
carbon indigo
carbonaceous karbonatdus
carbonate karbonat
carbonization elszenesites
carburetor karburator
carburetter karburator
carburettor karburator
car-carrier autoszallito
carcase dog
carcass dog
carcinogenic karcinogen
card ficko
cardamom malabar-kardamomum
cardamum malabar-kardamomum
cardboard karton
cardia gyomorszaj
cardiac sziv
cardigan kardigan
cardinal biboros
cards kartotekok
card-table kartyaasztal
care aggodalom
career eletpalya
carefree gondtalan
careful gondos
careless figyelmetlen
carelessly gondatlanul
carelessness gondatlansag
caress atoleles
caretaker gondnok
careworn elcsigazott
cargo rakomany
Carib karib
Caribee karibi
caribou renszarvas
caricature karikatura
carillon harangjatek
carnage meszarlas
carnal erzeki
carnation szegfu
carnival farsang
carnivore husevo
carnivorous husevo
carol oromenek
carom biliard
carousal ivaszat
carp ponty
carpenter acs
carpet szonyeg
carpet-bagger jottment
carpeting beszonyegezes
carping ocsarlo
carport feszer-garazs
carriage agyszan
carriage-drive kocsiut
carriageway kocsiut
